Pays;États-Unis;Allemagne;Chine;Italie;Japon;France;Royaume-Uni;Slovénie;Espagne;Belgique;Canada;Autres pays
2012;8 360 949 078;5 406 879 878;1 053 445 259;3 116 269 316;2 864 407 275;3 192 494 995;2 807 758 684;115 371 688;1 711 142 959;2 355 976 981;1 815 025 059;18 156 101 984
2013;9 222 312 914;6 085 001 475;1 659 703 634;3 089 319 166;2 262 063 600;3 085 222 410;2 792 798 984;220 989 840;1 742 043 096;2 842 359 488;2 061 255 878;18 232 187 220
2014;10 840 259 617;6 608 330 481;2 205 893 880;3 129 416 321;2 241 509 462;3 124 672 621;3 745 723 735;248 102 779;1 933 885 765;3 210 060 420;2 136 329 167;17 904 363 681
2015;12 046 306 266;6 233 625 175;2 512 370 192;2 741 942 858;2 360 846 494;2 786 516 771;4 794 255 165;228 555 031;1 706 662 387;3 091 760 956;2 233 873 671;17 185 255 692
2016;15 138 046 345;7 700 100 872;3 407 657 946;2 808 914 920;3 072 025 368;3 027 091 358;5 021 532 678;212 005 477;1 831 026 171;3 706 862 990;2 258 326 536;17 874 651 641
2017;17 235 659 040;8 222 324 754;3 784 925 284;3 269 978 202;3 093 545 668;3 198 297 799;4 637 671 111;291 992 577;1 885 843 522;1 718 403 311;2 303 779 561;19 648 347 875
2018;20 532 259 032;9 097 849 670;3 610 137 788;3 352 213 739;3 121 298 579;3 362 162 813;2 516 467 037;687 190 958;2 083 257 956;1 641 579 433;2 471 477 231;21 052 883 520
2019;23 842 514 330;10 223 671 284;4 275 148 062;3 483 456 938;3 536 591 625;3 045 776 815;2 354 351 534;2 956 937 381;2 224 841 241;1 771 216 009;2 698 046 808;22 058 490 958
2020;23 596 143 587;10 654 279 479;5 102 240 363;3 253 587 219;3 314 791 163;3 135 579 653;2 195 955 783;4 096 691 619;2 052 361 987;1 789 234 611;2 586 846 157;21 118 304 169
2021;27 781 338 073;10 996 913 097;4 267 956 022;3 287 870 956;3 688 167 139;4 234 838 661;2 407 342 908;4 464 794 852;6 356 799 981;1 835 571 398;2 214 377 367;21 284 083 004
2022;28 769 516 421;9 395 378 204;5 031 236 504;3 443 118 497;4 874 414 617;3 573 999 878;2 431 486 773;6 468 795 589;3 984 827 693;1 628 055 471;2 271 864 707;21 740 725 500
2023;27 595 166 608;9 426 574 016;4 697 463 776;4 100 870 394;3 213 742 412;3 065 238 656;2 147 814 464;5 720 870 839;2 082 943 737;2 174 278 166;2 331 355 009;22 437 317 979
2024;31 210 319 935;10 129 873 734;6 121 529 299;3 788 775 424;3 501 415 508;2 823 869 926;2 248 551 251;7 111 484 741;2 030 074 405;2 136 253 201;1 949 901 868;24 119 176 348
2025;33 778 504 553;10 623 239 165;6 147 983 993;3 422 813 136;3 153 659 100;2 617 641 468;1 990 325 960;8 418 904 713;1 736 307 008;2 093 627 924;1 886 722 630;24 595 000 619
