Année;Valeur ajoutée brute pharma;VAB total secteurs;Part relative de la VAB en %
1995;8 812;411 098;2.1
1996;8 800;414 686;2.1
1997;9 330;420 645;2.2
1998;10 593;430 677;2.5
1999;10 986;435 526;2.5
2000;11 894;456 047;2.6
2001;13 925;469 830;3.0
2002;15 998;471 129;3.4
2003;17 161;475 525;3.6
2004;18 842;489 458;3.8
2005;20 199;509 162;4.0
2006;22 450;541 222;4.1
2007;24 442;576 527;4.2
2008;25 195;599 668;4.2
2009;25 084;592 004;4.2
2010;25 836;613 589;4.2
2011;24 817;623 394;4.0
2012;25 709;633 240;4.1
2013;27 133;644 827;4.2
2014;27 368;657 498;4.2
2015;30 020;658 547;4.6
2016;34 154;667 995;5.1
2017;36 498;674 735;5.4
2018;39 316;703 877;5.6
2019;40 919;711 780;5.7
2020;41 067;690 804;5.9
2021;53 030;747 160;7.1
2022;51 486;798 088;6.5
2023;50 648;813 556;6.2
