Classement;Entreprise;Chiffre d'affaires 2024 (mrds $)
1;Merck & Co. :us:;64.17
2;Pfizer :us:;63.63
3;Johnson & Johnson Innovative Medicine :us:;57.07
4;AbbVie :us:;56.33
5;AstraZeneca :uk:;54.07
6;Roche Group :ch:;52.45
7;Novartis AG :ch:;50.32
8;Bristol Myers Squibb :us:;48.3
9;Eli Lilly :us:;45.04
10;Sanofi S.A. :fr:;44.47
11;Novo Nordisk :dk:;42.11
12;GSK plc :uk:;40.1
13;Amgen :us:;33.42
14;Gilead Sciences :us:;28.75
15;Takeda Pharmaceutical :jp:;28.16
16;Boehringer Ingelheim :de:;26.14
17;Bayer :de:;19.62
18;Teva Pharmaceutical Industries :il:;16.54
19;Viatris :us:;15.43
20;Regeneron Pharmaceuticals :us:;14.2
21;CSL :au:;12.74
22;Vertex Pharmaceuticals :us:;11.02
23;Astellas Pharma :jp:;10.6
24;Daiichi Sankyo :jp:;10.59
25;Sandoz Group :ch:;10.4
